Notes de tall 1a assignació Juny 2024 (11/07/24),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys
Ordre alfabètic per centre d'estudi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTUDIS DE GRAU I TÍTOLS PROPIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61040.0,Ciència i Producció Animal / Veterinària (simultaneïtat) (Lleida),UdL,11 252,5 125,8 130,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21021.0,Ciència i Tecnologia dels Aliments (Cerdanyola del Vallès),UAB,9 194,5 000,6 210,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61008.0,Ciència i Tecnologia dels Aliments (Lleida),UdL,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11054.0,Ciència i Tecnologia dels Aliments (Santa Coloma de Gramenet),UB,8 524,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21013.0,Ciència Política i Gestió Pública (Cerdanyola del Vallès),UAB,8 292,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21104.0,Ciència Política i Gestió Pública / Dret (simultaneïtat) (Cerdanyola del Vallès),UAB,11 090,5 094,6 550,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21125.0,Ciència Política i Gestió Pública / Sociologia (simultaneïtat) (Cerdanyola delVallès),UAB,9 584,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21137.0,Ciència  Tecnologia i Humanitats (Cerdanyola del Vallès),UAB,7 116,5 000,6 800,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21131.0,Ciències (Cerdanyola del Vallès),UAB,6 154,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11005.0,Ciències Ambientals (Barcelona),UB,9 232,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21147.0,Ciències Ambientals (Cerdanyola del Vallès),UAB,8 686,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81008.0,Ciències Ambientals (Girona),UdG,6 894,5 813,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21151.0,Ciències Ambientals / Geologia (simultaneïtat) (Cerdanyola del Vallès),UAB,7 118,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11006.0,Ciències Biomèdiques (Barcelona / L'Hospitalet de Llobregat),UB,12 304,5 500,7 700,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21010.0,Ciències Biomèdiques (Cerdanyola del Vallès),UAB,12 431,5 000,8 200,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61004.0,Ciències Biomèdiques (Lleida),UdL,11 767,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11113.0,Ciències Culinàries i Gastronòmiques "CETT" (Barcelona),UB,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71086.0,Ciències de l'Activitat Física i de l'Esport "EUSES" (Amposta),URV,5 602,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11007.0,Ciències de l'Activitat Física i de l'Esport (Barcelona),UB,10 309,5 438,6 530,5 333
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61071.0,Ciències de l'Activitat Física i de l'Esport (La Seu d'Urgell),UdL,9 191,5 000,8 290,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61007.0,Ciències de l'Activitat Física i de l'Esport (Lleida),UdL,9 498,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41038.0,Ciències de l'Activitat Física i de l'Esport "Tecnocampus" (Mataró),UPF,8 180,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81082.0,Ciències de l'Activitat Física i de l'Esport "EUSES" (Salt),UdG,5 232,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91001.0,Ciències de l'Activitat Física i de l'Esport (Vic),UVic-UCC,6 866,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61038.0,Ciències de l'Activitat Física i de l'Esport / Educació Primària (simultaneïtat)(Lleida),UdL,9 404,5 000,6 960,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91055.0,Ciències de l'Activitat Física i de l'Esport / Educació Primària (menció enEducació Física) (simultaneïtat) (Vic),UVic-UCC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81086.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "EUSES" (simultaneïtat)(Salt),UdG,6 686,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71088.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "EUSES" (simultaneïtat)(Amposta / Tortosa),URV,5 871,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61039.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia (simultaneïtat) (Lleida),UdL,11 122,5 000,7 470,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41037.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "Tecnocampus"(simultaneïtat) (Mataró),UPF,7 710,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21117.0,Ciències de l'Antiguitat (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11077.0,Ciències del Mar (Barcelona),UB,10 228,8 813,8 010,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41009.0,Ciències Empresarials - Management (Barcelona),UPF,11 580,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,31095.0,Ciències i Tecnologies Aplicades a l'Esport i al Fitnes "EUNCET" (Barcelona),UPC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,31096.0,Ciències i Tecnologies del Mar (Castelldefels / Barcelona / Vilanova i la Geltrú),UPC,6 244,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11008.0,Ciències Polítiques i de l'Administració (Barcelona),UB,8 530,5 000,6 936,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41010.0,Ciències Polítiques i de l'Administració (Barcelona),UPF,8 360,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81010.0,Ciències Polítiques i de l'Administració (Girona),UdG,7 032,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11065.0,Ciències Polítiques i de l'Administració / Dret (simultaneïtat) (Barcelona),UB,11 452,5 563,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81054.0,Ciències Polítiques i de l'Administració / Dret (simultaneïtat) (Girona),UdG,9 408,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11105.0,Cinematografia "ESCAC" (Terrassa),UB,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81011.0,Comptabilitat i Finances (Girona),UdG,7 673,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21084.0,Comptabilitat i Finances (Sabadell),UAB,8 612,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11097.0,Comunicació Audiovisual (Barcelona),UB,11 090,5 938,7 350,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41002.0,Comunicació Audiovisual (Barcelona),UPF,11 614,7 813,6 850,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21085.0,Comunicació Audiovisual (Cerdanyola del Vallès),UAB,10 520,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71007.0,Comunicació Audiovisual (Tarragona),URV,9 232,6 125,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91006.0,Comunicació Audiovisual (Vic),UVic-UCC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11098.0,Comunicació Audiovisual / Gestió d'Informació i Documentació Digital(simultaneïtat) (Barcelona),UB,10 276,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81005.0,Comunicació Audiovisual i Multimèdia "ERAM" (Salt),UdG,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81067.0,Comunicació Audiovisual i Multimèdia "ERAM" (docència en Anglès) (Salt),UdG,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81068.0,Comunicació Cultural (Girona),UdG,5 000,5 000,5 000,6 667
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21121.0,Comunicació de les Organitzacions (Cerdanyola del Vallès),UAB,9 406,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11067.0,Comunicació i Indústries Culturals (Barcelona),UB,8 858,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61009.0,Comunicació i Periodisme Audiovisuals (Lleida),UdL,6 953,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21126.0,Comunicació Interactiva (Cerdanyola del Vallès),UAB,7 136,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11100.0,Conservació - Restauració de Béns Culturals (Barcelona),UB,5 000,5 563,7 600,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61042.0,Conservació de la Natura / Enginyeria Forestal (simultaneïtat) (Lleida),UdL,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11010.0,Criminologia (Barcelona),UB,9 540,5 250,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91050.0,Criminologia "ESERP" (Barcelona),UVic-UCC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21068.0,Criminologia (Cerdanyola del Vallès),UAB,9 764,7 063,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81013.0,Criminologia (Girona),UdG,8 722,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11088.0,Criminologia / Dret (simultaneïtat) (Barcelona),UB,11 550,5 625,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21108.0,Criminologia / Dret (simultaneïtat) (Cerdanyola del Vallès),UAB,10 956,6 000,7 410,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81056.0,Criminologia / Dret (simultaneïtat) (Girona),UdG,10 056,5 000,8 370,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41011.0,Criminologia i Polítiques Públiques de Prevenció (Barcelona),UPF,9 356,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41043.0,Criminologia i Polítiques Públiques de Prevenció / Dret (simultaneïtat)(Barcelona),UPF,11 362,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21107.0,Direcció Hotelera (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81083.0,Direcció d'Empreses Hoteleres i Gastronòmiques (Sant Pol de Mar),UdG,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71085.0,Direcció i Gestió d'Empreses en l'Àmbit Digital "ESIC" (Barcelona),URV,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11110.0,Direcció i Gestió Gastronòmica "Barcelona Culinary Hub" (L'Hospitalet deLlobregat),UB,5 000,5 000,5 000,5 000
